id;section_label;circuit_id;conductor_cross_sectional_area;sheath_material;design_voltage;operating_voltage;insulation_type_sheath;conductor_material;age;fault_history;length_of_cable_section_meters;section_rating;type;number_of_cores;net_performance_cost_of_failure_euro;repair_time_hour
1;Lithuanian index attitude;39420;43537;mobile;Greens set;bypassing COM;incentivize Dynamic Tools;toolset heuristic initiatives;28035;41624;57414;9116;salmon Small Facilitator;68866;vortals invoice hack;41772
2;hack;16469;29224;synergies Assurance;Generic;1080p Account De-engineered;Handcrafted Representative;Enterprise-wide Lane Berkshire;86534;1073;84068;33455;bricks-and-clicks EXE multimedia;68464;Associate Sports;52077
3;Rwanda;1011;9410;vertical index;Hat red;Intelligent matrix;Focused incentivize;Officer;75145;53449;80105;17247;Cambridgeshire;81216;Street;75451
4;program Salad;74573;7173;Investment;Data Infrastructure Minor;emulation scalable Money;envisioneer up;connecting Solutions Account;53973;77591;32276;16907;markets Implemented Cedi;33499;Account Gloves Cotton;26369
5;AGP quantify;62105;33870;Angola Wooden;metrics SSL;Producer;Zloty invoice;of EXE Birr;44099;93142;13602;55472;Soft Borders Plastic;33058;Account Republic;4146
6;Gloves Senior bypass;13040;5517;Bosnia Gambia Market;Soap;calculate generate;teal grey;copying;93306;39792;99885;23660;Brunei paradigm Florida;55479;ivory Steel;38703
7;copying engineer Personal;82151;48498;Estates Soap Director;haptic Polarised Nigeria;Internal connecting stable;Fantastic Awesome;optical orchid Licensed;88930;49889;40909;24795;deposit Account;74816;Home SCSI;94981
8;driver Mexican efficient;7566;41354;Granite withdrawal optical;Manager;Representative;Generic;Texas;8618;90515;68191;94396;Persistent;9491;Granite Enterprise-wide Regional;64258
9;Fresh;85135;84125;Loan;XSS Liaison;Small Intranet;Borders;Market service-desk;62112;21329;72426;28158;Dynamic Global solutions;45472;Directives Tuvalu Chief;14725
10;Bedfordshire reboot;28143;67690;Direct Shoal;Oregon;architecture;Ameliorated withdrawal;programming;27662;24091;12610;57079;Auto;25314;compressing Research;50133
